# These are ad-hoc manual mappings. Feel free to correct them.
Q276156	FOODON_03304999	tempeh
Q186316	FOODON_03309664	tofu/tofu food product
Q530011	FOODON_03311469	textured vegetable protein
Q568687	FOODON_03309737	beef (raw)
Q239199	FOODON_03311109	turkey (raw, ground)
Q146150 FOODON_03303520 red kidney bean
Q286232 FOODON_03301215 dried thyme leaves
Q165075 FOODON_00003738 vanilla bean
Q430903 FOODON_03305199 vegan bacon bits/imitation bacon bit
Q188619 FOODON_03306436 vegetarian meat substitute/'meat substitute (from vegetable protein)'
Q490909 FOODON_03309992 SMOKED SLICED BACON, SMOKED/bacon (smoked)
Q199639 FOODON_03301710 apple
Q144026 FOODON_03302578 canola oil
Q282926 FOODON_03310809 wheat gluten
Q185859 FOODON_03317271 pork
Q560324 FOODON_03315521 Fat, beef tallow/tallow
Q205764 FOODON_03302051 lard
Q144900 http://purl.obolibrary.org/obo/UBERON_0036016   honey
